AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/4/2019,30.2,19.6,78.2,0.0
2/4/2019,32.2,20.2,74.5,14.2
3/4/2019,30.6,21.6,81.1,0.0
4/4/2019,33,20,71.5,0.0
5/4/2019,34.6,20.2,71,0.0
6/4/2019,32.2,21,71.1,0.0
7/4/2019,32,19.8,72,0.0
8/4/2019,32.6,20.8,73,0.0
9/4/2019,32.4,20.6,71.2,0.0
10/4/2019,31.8,20.4,71.7,0.0
11/4/2019,32.4,18.2,72.1,0.0
12/4/2019,32.2,18.6,72.4,0.0
13/4/2019,32.8,20.4,73.6,0.0
14/4/2019,33,19,73.2,0.0
15/4/2019,32.8,19.8,70,0.0
16/4/2019,32.4,20.6,73.9,0.0
17/4/2019,31.4,18.8,71,0.0
18/4/2019,31.4,20.6,74.4,0.0
19/4/2019,32.8,21.2,69.9,0.7
20/4/2019,33.4,19.4,73.3,4.6
21/4/2019,30.4,20.6,77.1,0.0
22/4/2019,32.2,20.8,74.2,0.0
23/4/2019,31.6,21.4,73.7,0.0
24/4/2019,32.8,21,76.4,2.4
25/4/2019,32.6,20.2,75.1,0.0
26/4/2019,32,20,70,0.0
27/4/2019,31.6,20.2,73.1,0.0
28/4/2019,28,19,77.2,0.0
29/4/2019,30.4,19.2,75.9,0.0
30/4/2019,33,18.6,69.5,0.0
