AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/8/2019,25,11.6,80.6,0.0
2/8/2019,27,12.6,80.4,0.0
3/8/2019,27.4,13,78.7,0.0
4/8/2019,29,13.4,78.6,0.0
5/8/2019,27.2,14.4,81.3,0.0
6/8/2019,25,14.2,82.1,0.0
7/8/2019,24.6,13.6,85.3,0.0
8/8/2019,24,14.4,84.2,0.0
9/8/2019,25.4,13.2,84.7,0.0
10/8/2019,24.2,13,85.6,0.0
11/8/2019,26.2,13.2,81.5,0.0
12/8/2019,26.8,13.4,81,0.0
13/8/2019,28,12.6,79.7,0.0
14/8/2019,26.2,15,82.1,0.0
15/8/2019,28.2,13.6,78.6,0.0
16/8/2019,25.6,14,80.8,0.0
17/8/2019,26.2,14.2,79.5,0.0
18/8/2019,28,14,80.3,0.0
19/8/2019,24.4,14.4,84.7,0.0
20/8/2019,27.6,14.4,78.8,0.0
21/8/2019,29.8,14.2,80,0.0
22/8/2019,28.6,13.8,80.8,0.0
23/8/2019,27.6,14.8,80.2,0.0
24/8/2019,25.6,14.6,80.4,0.0
25/8/2019,27,13.6,79,0.0
26/8/2019,27.6,13.4,82.5,0.0
27/8/2019,27.8,13.6,79.5,0.0
28/8/2019,26.2,14.8,81.3,0.0
29/8/2019,28.8,12.8,78,0.0
30/8/2019,27.4,14,80,0.0
31/8/2019,28,13.8,81.1,0.0
