AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/12/2019,30.4,18.8,74.7,0.6
2/12/2019,31,19.2,78.4,0.0
3/12/2019,32,18,75.2,0.0
4/12/2019,31.2,18.2,74.8,0.0
5/12/2019,31,17.6,76.7,0.0
6/12/2019,31.6,18.4,75.6,0.0
7/12/2019,31.4,18.6,76.7,0.0
8/12/2019,30.8,19.4,76.6,0.0
9/12/2019,30.2,18.8,74.6,0.0
10/12/2019,30.6,19.2,75.1,0.0
11/12/2019,27.6,19,82.1,0.0
12/12/2019,30.4,20,71.8,0.0
13/12/2019,31,19,75.4,0.0
14/12/2019,28.8,18,79,0.0
15/12/2019,31.2,17,69.5,0.0
16/12/2019,30.4,17.8,74.8,0.0
17/12/2019,30,17.4,77.1,0.0
18/12/2019,32.2,19.8,71.5,0.0
19/12/2019,31.4,20.2,73.2,0.0
20/12/2019,27.8,19.8,73,0.0
21/12/2019,29,18.6,78.9,0.0
22/12/2019,32.4,19.6,73.8,0.0
23/12/2019,32.6,20,72.4,0.0
24/12/2019,31.8,19.2,74.5,0.0
25/12/2019,31.4,19.6,72.6,0.0
26/12/2019,32.8,19,70.5,0.0
27/12/2019,33.4,19.6,69.9,0.0
28/12/2019,33.2,20.4,77.2,3.2
29/12/2019,29.6,20.6,75.2,0.8
30/12/2019,29.8,20.8,76.9,0.0
31/12/2019,32.8,20.6,70.4,0.0
