AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/1/2019,32,19.8,68,0.0
2/1/2019,31.8,19,69.7,0.0
3/1/2019,30.6,20.4,70.5,0.0
4/1/2019,32.4,19.8,69.7,0.0
5/1/2019,32.2,21.4,67.9,0.0
6/1/2019,29.8,22.2,69.6,0.0
7/1/2019,33.2,22,66.1,0.0
8/1/2019,30.4,22.2,73.3,0.0
9/1/2019,32.4,22,68.7,0.0
10/1/2019,31,23,70.3,0.0
11/1/2019,33.2,21.6,64.7,0.0
12/1/2019,32.6,20.6,66,0.0
13/1/2019,32,20.2,66.7,0.0
14/1/2019,27.8,20.4,74.7,0.0
15/1/2019,32.2,21,66,0.0
16/1/2019,31.2,21.2,70.1,0.0
17/1/2019,31.4,19.6,68.7,0.0
18/1/2019,32.6,20.6,67,0.0
19/1/2019,35.2,20.2,63,0.0
20/1/2019,30.6,20,73.7,0.0
21/1/2019,34.2,20.6,61.6,0.0
22/1/2019,31.8,21.4,68.3,0.0
23/1/2019,33.4,19.8,63.5,0.0
24/1/2019,33.6,20.4,66.8,0.0
25/1/2019,29.4,21.6,71.9,0.0
26/1/2019,34.2,19.8,64.2,0.0
27/1/2019,34,21.6,68,0.0
28/1/2019,32,22,69.9,0.0
29/1/2019,34,22.6,66.4,0.0
30/1/2019,32.8,23.4,65.5,0.0
31/1/2019,28,22.6,72.2,0.0
