AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/2/2019,31,22.2,73.4,0.0
2/2/2019,32.6,22,70.8,0.0
3/2/2019,32,23,75.2,0.0
4/2/2019,31,22.6,75,4.0
5/2/2019,32.6,21.4,67.9,0.0
6/2/2019,32.4,23.4,68.7,0.5
7/2/2019,31.2,23,71.1,1.0
8/2/2019,31.8,22.6,72.7,3.6
9/2/2019,32,22,71.5,0.6
10/2/2019,30.2,23,71.5,0.0
11/2/2019,32,21.6,67.3,0.0
12/2/2019,31,22,72.4,0.0
13/2/2019,33.8,23.4,64,0.0
14/2/2019,30,20.2,71.4,22.2
15/2/2019,31.6,21.6,68.4,0.0
16/2/2019,33,22,67.4,0.0
17/2/2019,33.6,21.8,69.2,0.0
18/2/2019,33.8,23.2,60.7,4.3
19/2/2019,29.8,22.6,72.7,4.1
20/2/2019,31,22.4,75.2,4.7
21/2/2019,33.2,22,67.9,0.0
22/2/2019,33.4,22.2,64.3,0.0
23/2/2019,31.6,22.4,68.6,0.0
24/2/2019,30,22.6,75,31.8
25/2/2019,33.4,21.2,66.9,0.0
26/2/2019,32.4,22,69.5,0.0
27/2/2019,32.4,22.8,67,0.0
28/2/2019,32,21.2,67,0.0
