AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/7/2019,30,16,77.4,0.0
2/7/2019,27.4,16.2,81,0.0
3/7/2019,27.4,15.2,80.7,0.0
4/7/2019,27,14.6,77.6,0.0
5/7/2019,28.2,16.2,78.8,0.0
6/7/2019,30.4,16.4,77.9,0.0
7/7/2019,26.6,17.2,81.7,0.0
8/7/2019,27.4,16,81.5,0.0
9/7/2019,26,15.6,81.5,0.0
10/7/2019,26.8,14,79.9,0.0
11/7/2019,27.2,14.6,80.5,0.0
12/7/2019,25.6,16,81,0.0
13/7/2019,27,15.2,80.3,0.0
14/7/2019,23.2,16,84.6,0.0
15/7/2019,28.4,15.8,80.3,0.0
16/7/2019,29.2,14.6,79.1,0.0
17/7/2019,27.8,14.4,80.6,0.0
18/7/2019,24.2,15.6,80,0.0
19/7/2019,26,14.2,80.6,0.0
20/7/2019,29,13.2,78.9,0.0
21/7/2019,28.6,15.2,82.2,0.0
22/7/2019,27.6,16.2,82.1,0.0
23/7/2019,28,16,79.1,0.0
24/7/2019,27.8,16.4,79.2,0.0
25/7/2019,26.8,15.4,82,0.0
26/7/2019,25.8,13.8,81.1,0.0
27/7/2019,26.8,13.6,81.6,0.0
28/7/2019,24.2,13.4,83.1,0.0
29/7/2019,23.2,13.4,86.1,0.0
30/7/2019,24,13.2,87.4,0.0
31/7/2019,27.2,11,86.3,0.0
