AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/6/2019,29.2,17.6,77.3,0.0
2/6/2019,28.2,16.6,78.7,0.0
3/6/2019,29,16,79,0.0
4/6/2019,29.4,16,75.5,0.0
5/6/2019,28.8,16.4,75.6,0.0
6/6/2019,30,16.2,77.5,0.0
7/6/2019,30.2,15.6,75.6,0.0
8/6/2019,30,17.2,78.6,0.0
9/6/2019,29.4,17.2,78.8,0.0
10/6/2019,28.8,16.8,82.3,0.0
11/6/2019,26.2,16.2,81.6,0.0
12/6/2019,28.4,16,77.2,0.0
13/6/2019,27.2,16.4,78.1,0.0
14/6/2019,28.4,16.6,79,0.0
15/6/2019,29.4,17.4,78.7,0.0
16/6/2019,28,17.2,80.1,0.0
17/6/2019,27.8,16.4,78.6,0.0
18/6/2019,25.2,16.2,82.1,0.0
19/6/2019,26.8,15.2,79,0.0
20/6/2019,28.2,15,77.8,0.0
21/6/2019,23.6,15.8,87,0.0
22/6/2019,24.8,14.6,87.9,0.0
23/6/2019,28.6,14.4,79.9,0.0
24/6/2019,28.2,15.2,81.5,0.0
25/6/2019,28,14.8,79.9,0.0
26/6/2019,28.4,14.6,78.1,0.0
27/6/2019,29.2,15,79.9,0.0
28/6/2019,29,15.4,78.3,0.0
29/6/2019,27.4,16.8,85.7,0.0
30/6/2019,28,16.2,82.5,0.0
