AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/3/2019,33.4,22.4,69.5,36.6
2/3/2019,30.6,22.6,72.9,0.0
3/3/2019,33.6,22.8,65.7,0.0
4/3/2019,30.4,22.6,73.4,0.0
5/3/2019,30.2,22,75.5,12.3
6/3/2019,29.6,22.2,76.9,0.0
7/3/2019,32,22,73.1,0.0
8/3/2019,31.8,21.8,71.9,0.0
9/3/2019,34.4,21.4,68,0.0
10/3/2019,34.2,21.8,68.9,0.0
11/3/2019,35,22.4,64,0.0
12/3/2019,34.6,22.4,64.5,0.0
13/3/2019,33.2,22.2,68.4,0.0
14/3/2019,35.2,22.4,66.7,0.0
15/3/2019,33.2,22.6,67.3,0.0
16/3/2019,34.4,22.2,67.2,0.0
17/3/2019,34.6,21.4,64.6,3.5
18/3/2019,33.6,21,66.1,0.0
19/3/2019,34.8,21.2,63.8,0.0
20/3/2019,33.8,21.4,66.2,0.0
21/3/2019,32.4,21.2,67,0.0
22/3/2019,34.6,21.4,63.1,0.0
23/3/2019,30.8,20.8,68.8,0.0
24/3/2019,31.8,20.6,68,0.0
25/3/2019,35.4,20.8,66.3,0.0
26/3/2019,31.4,19.4,70.5,0.0
27/3/2019,31.6,19,72.7,0.0
28/3/2019,32.8,20.4,70.8,0.0
29/3/2019,33.2,21,65.3,4.5
30/3/2019,30,21.6,71.5,0.0
31/3/2019,33.4,19,66.8,0.0
