AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/5/2019,31,19,73.2,0.0
2/5/2019,29,18.6,79.2,0.0
3/5/2019,32,20,69.1,0.0
4/5/2019,32.6,20.4,70.1,0.0
5/5/2019,31.2,20.2,70.9,0.0
6/5/2019,32.6,18.6,71.3,0.0
7/5/2019,30.4,19.2,77.2,0.0
8/5/2019,31.2,18.2,72.3,0.0
9/5/2019,31,19.8,75.3,0.0
10/5/2019,29.6,20,77.1,0.0
11/5/2019,31,18.2,71.3,0.0
12/5/2019,30.2,18.6,78.6,0.0
13/5/2019,28.6,19.8,78.4,0.0
14/5/2019,32.4,20.2,73.5,0.0
15/5/2019,31.8,18.8,72.8,0.0
16/5/2019,31.2,19.2,74.6,0.0
17/5/2019,28.8,19,74.4,0.0
18/5/2019,30,17,77.2,0.0
19/5/2019,30.4,17.4,75.7,0.0
20/5/2019,30,17.8,75.5,0.0
21/5/2019,30.4,17.4,76,0.0
22/5/2019,31,19,72.3,0.0
23/5/2019,28.6,17.4,75.8,0.0
24/5/2019,28.4,18.8,78.6,0.0
25/5/2019,30.8,19,75.8,0.0
26/5/2019,30.6,19.4,78.3,0.0
27/5/2019,28.8,17.8,76.9,0.0
28/5/2019,28.6,17.2,77.5,0.0
29/5/2019,28.2,16.6,77.6,0.0
30/5/2019,30,17,75.4,0.0
31/5/2019,30.2,17.6,75.2,0.0
