AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/11/2019,31.2,16.8,72.9,0.0
2/11/2019,30.4,17.2,77.1,1.3
3/11/2019,27.6,17.4,80.6,0.0
4/11/2019,29.2,16.8,77.6,0.0
5/11/2019,30.4,17.4,75.7,0.0
6/11/2019,31.2,17.8,73.5,0.0
7/11/2019,30.6,16.4,73.5,0.0
8/11/2019,31.2,15.4,72.9,0.0
9/11/2019,30.2,17,73.5,0.0
10/11/2019,29.8,17.6,78.6,0.0
11/11/2019,31.4,17,72.6,0.0
12/11/2019,29,17.8,77.9,0.0
13/11/2019,30,16.2,73.4,0.0
14/11/2019,30.6,15.8,75.5,0.0
15/11/2019,30,16,76.2,0.0
16/11/2019,27.4,16.8,77.1,0.0
17/11/2019,28.2,17,79.4,0.0
18/11/2019,27.4,15.4,77.1,0.0
19/11/2019,25.2,17,77.2,0.0
20/11/2019,30.8,16.2,77,0.0
21/11/2019,31.4,17,71.7,0.0
22/11/2019,30.8,16.6,74.5,0.0
23/11/2019,27.2,16.8,79,0.0
24/11/2019,29,18,77.3,0.0
25/11/2019,27,18.8,77.8,0.0
26/11/2019,25.2,17.6,S/D,0.0
27/11/2019,31.4,17.2,70.7,0.0
28/11/2019,31.2,18.2,75.7,0.0
29/11/2019,30.8,18.8,75.9,0.0
30/11/2019,29.4,18.6,77.8,0.0
