AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/10/2019,24.6,15.2,81.8,0.0
2/10/2019,28.6,14.8,78.8,0.0
3/10/2019,S/D,15.4,S/D,0.0
4/10/2019,27.2,15.2,76.5,0.0
5/10/2019,26.4,15.4,77.1,0.0
6/10/2019,28.8,15.6,78.3,1.2
7/10/2019,28.4,15.4,83.7,0.0
8/10/2019,28.8,15.6,75.7,0.0
9/10/2019,29.2,15,77.2,0.0
10/10/2019,29,14.6,74.6,0.0
11/10/2019,28,14.4,77.7,0.0
12/10/2019,29,14.2,74.3,0.0
13/10/2019,28.4,14.8,75.9,0.0
14/10/2019,29.6,16,75,0.0
15/10/2019,31,15.8,74.2,0.0
16/10/2019,29.8,16.4,76.4,0.0
17/10/2019,28.4,17,78.3,0.0
18/10/2019,27.8,16.8,80.7,0.0
19/10/2019,29,16.2,78,0.0
20/10/2019,28.2,16.8,76.2,0.0
21/10/2019,29.6,16.6,74.4,0.0
22/10/2019,29,16.8,73.8,0.0
23/10/2019,29.6,16.6,75,0.0
24/10/2019,29.4,15.6,75.2,0.0
25/10/2019,29.2,15.4,74.2,0.0
26/10/2019,30.2,15,74.8,0.0
27/10/2019,30,15.2,73.9,0.0
28/10/2019,30,16.2,71.6,0.0
29/10/2019,28,16,76.4,0.0
30/10/2019,30.6,16.4,74.1,0.0
31/10/2019,31.4,17.4,76,0.0
