AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/9/2019,26.2,14.6,80.2,0.0
2/9/2019,28.6,14.4,76.5,0.0
3/9/2019,27.8,13.8,79.8,0.0
4/9/2019,28.6,15,78.3,0.0
5/9/2019,29,14.8,77.1,0.0
6/9/2019,28,14,76.5,0.0
7/9/2019,26.4,13.8,77.8,0.0
8/9/2019,26.2,14.4,76.2,0.0
9/9/2019,26,13.4,81.5,0.0
10/9/2019,25.6,13.8,76.3,0.0
11/9/2019,28.8,13.6,75.8,0.0
12/9/2019,27.8,14.2,78.5,0.0
13/9/2019,27.4,14.4,78.2,0.0
14/9/2019,28.2,14,79,0.0
15/9/2019,28,13.2,76.6,0.0
16/9/2019,28.2,14.2,74.8,0.0
17/9/2019,30,14.4,75.7,0.0
18/9/2019,26,14.2,81.8,0.0
19/9/2019,27.4,15.4,79,0.0
20/9/2019,25.2,14.8,82.4,0.0
21/9/2019,28.2,15.6,79.1,0.0
22/9/2019,28.6,14.8,76.8,0.0
23/9/2019,26.2,15.2,80.9,0.0
24/9/2019,28,15.6,74.1,0.0
25/9/2019,29.8,15,75.3,0.0
26/9/2019,29,14,78,0.0
27/9/2019,27.8,14.6,81.1,0.0
28/9/2019,28.8,15,75.6,0.0
29/9/2019,30.8,15.2,75.4,0.0
30/9/2019,28,14.8,77.1,0.0
